Date_Time,KCQT
2023-10-02 00:47:00,51.01
2023-10-02 01:47:00,49.92
2023-10-02 02:47:00,49.93
2023-10-02 03:47:00,49.94
2023-10-02 04:47:00,48.85
2023-10-02 05:47:00,48.85
2023-10-02 06:47:00,49.94
2023-10-02 07:47:00,48.84
2023-10-02 08:47:00,49.92
2023-10-02 09:47:00,51.0
2023-10-02 10:47:00,
2023-10-02 11:47:00,51.01
2023-10-02 12:47:00,51.93
2023-10-02 13:47:00,51.03
2023-10-02 14:47:00,49.94
2023-10-02 15:47:00,51.02
2023-10-02 16:47:00,54.99
2023-10-02 17:47:00,55.89
2023-10-02 18:47:00,56.98
2023-10-02 19:47:00,56.98
2023-10-02 20:47:00,57.88
2023-10-02 21:47:00,57.88
2023-10-02 22:47:00,58.97
2023-10-02 23:47:00,57.89
2023-10-03 00:47:00,56.98
2023-10-03 01:47:00,57.89
2023-10-03 02:47:00,57.89
2023-10-03 03:47:00,56.99
2023-10-03 04:47:00,55.9
2023-10-03 05:47:00,55.0
2023-10-03 07:47:00,53.9
2023-10-03 08:47:00,53.9
2023-10-03 09:47:00,51.04
2023-10-03 10:47:00,50.0
2023-10-03 11:47:00,51.11
2023-10-03 12:47:00,52.02
2023-10-03 13:47:00,55.06
2023-10-03 14:47:00,55.06
2023-10-03 15:47:00,55.93
2023-10-03 16:47:00,53.94
2023-10-03 17:47:00,56.99
2023-10-03 18:47:00,60.04
2023-10-03 19:47:00,60.95
2023-10-03 20:47:00,60.95
2023-10-03 21:47:00,62.04
2023-10-03 22:47:00,62.04
2023-10-03 23:47:00,60.95
2023-10-04 00:47:00,58.96
2023-10-04 01:47:00,60.05
2023-10-04 02:47:00,58.97
2023-10-04 03:47:00,58.97
2023-10-04 04:47:00,57.89
2023-10-04 05:47:00,55.9
2023-10-04 06:47:00,51.0
2023-10-04 07:47:00,49.92
2023-10-04 08:47:00,51.94
2023-10-04 09:47:00,53.07
2023-10-04 10:47:00,52.06
2023-10-04 11:47:00,54.04
2023-10-04 12:47:00,54.04
2023-10-04 13:47:00,53.16
2023-10-04 14:47:00,51.2
