Date_Time,KSJC,KNUQ
2017-01-01 11:45:00,50.37,53.81
2017-01-01 11:50:00,50.37,50.37
2017-01-01 11:53:00,50.37,
2017-01-01 11:55:00,50.37,50.37
2017-01-01 12:00:00,54.08,50.37
2017-01-01 12:05:00,53.81,50.37
2017-01-01 12:10:00,50.65,50.37
2017-01-01 12:15:00,50.37,50.37
2017-01-01 12:20:00,50.37,50.37
2017-01-01 12:25:00,50.37,50.37
2017-01-01 12:30:00,47.17,50.37
2017-01-01 12:35:00,50.37,50.37
2017-01-01 12:40:00,50.37,50.37
2017-01-01 12:45:00,47.17,50.37
2017-01-01 12:50:00,50.37,50.37
2017-01-01 12:53:00,47.17,
2017-01-01 12:55:00,47.17,50.37
2017-01-01 13:00:00,47.17,50.37
2017-01-01 13:05:00,47.17,50.37
2017-01-01 13:10:00,47.17,50.37
2017-01-01 13:15:00,50.65,54.08
2017-01-01 13:20:00,50.65,50.37
2017-01-01 13:25:00,47.17,50.37
2017-01-01 13:30:00,47.17,54.08
2017-01-01 13:35:00,47.17,54.08
2017-01-01 13:40:00,47.17,50.37
2017-01-01 13:45:00,47.17,50.37
2017-01-01 13:50:00,47.17,50.37
2017-01-01 13:53:00,50.65,
2017-01-01 13:55:00,47.17,50.37
2017-01-01 14:00:00,47.17,50.37
2017-01-01 14:05:00,50.37,50.37
2017-01-01 14:10:00,50.37,50.37
2017-01-01 14:15:00,50.37,50.37
2017-01-01 14:20:00,50.37,50.37
2017-01-01 14:25:00,47.17,50.37
2017-01-01 14:30:00,50.37,50.37
2017-01-01 14:35:00,50.37,50.37
2017-01-01 14:40:00,47.17,50.37
2017-01-01 14:45:00,47.17,46.88
2017-01-01 14:50:00,50.37,46.88
2017-01-01 14:53:00,50.37,
2017-01-01 14:55:00,46.88,46.88
2017-01-01 15:00:00,50.37,46.88
2017-01-01 15:05:00,50.37,46.88
2017-01-01 15:10:00,46.88,46.88
2017-01-01 15:15:00,43.9,46.88
2017-01-01 15:20:00,46.88,46.88
2017-01-01 15:25:00,46.88,46.88
2017-01-01 15:30:00,46.88,50.08
2017-01-01 15:35:00,46.88,50.08
2017-01-01 15:40:00,46.88,46.88
2017-01-01 15:45:00,46.88,46.88
2017-01-01 15:50:00,46.88,46.88
